Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231023211607,202,503,94,0,0,0,208,496,99,0,0,0
231023211618,202,502,94,0,0,0,208,494,96,0,0,0
231023211629,202,502,94,0,0,0,207,487,95,0,0,0
231023211640,202,502,94,0,0,0,207,492,95,0,0,0
231023211651,202,500,94,0,0,0,207,494,95,0,0,0
231023211703,202,499,94,0,0,0,207,495,98,0,0,0
231023211714,202,499,94,0,0,0,207,495,98,0,0,0
231023211725,202,499,94,0,0,0,207,491,95,0,0,0
231023211736,202,499,94,0,0,0,207,495,98,0,0,0
231023211747,202,499,94,0,0,0,207,495,98,0,0,0
231023211759,202,500,94,0,0,0,207,496,98,0,0,0
231023211928,202,516,100,0,0,0,206,492,95,0,0,0
231023211939,202,517,100,0,0,0,206,495,98,0,0,0
231023211951,202,519,100,0,0,0,206,497,98,0,0,0
231023212002,202,520,100,0,0,0,206,497,98,0,0,0
231023212013,202,522,100,0,0,0,206,494,95,0,0,0
231023212024,202,523,100,0,0,0,205,494,94,0,0,0
231023212035,202,524,100,0,0,0,205,494,94,0,0,0
231023212047,202,526,102,0,0,0,205,494,94,0,0,0
231023212058,202,527,102,0,0,0,205,494,94,0,0,0
231023212109,202,527,102,0,0,0,205,495,97,0,0,0
231023212120,202,527,102,0,0,0,205,497,97,0,0,0
231023212131,202,527,102,0,0,0,205,497,97,0,0,0
231023212143,202,527,102,0,0,0,205,498,97,0,0,0
231023212154,202,527,102,0,0,0,205,502,97,0,0,0
231023212205,202,525,102,0,0,0,205,501,97,0,0,0
231023212216,202,525,102,0,0,0,205,495,97,0,0,0
231023212228,202,523,100,0,0,0,205,497,97,0,0,0
231023212239,202,521,100,0,0,0,204,497,96,0,0,0
231023212250,202,521,100,0,0,0,204,498,96,0,0,0
231023212301,202,520,100,0,0,0,204,500,96,0,0,0
231023212431,202,510,97,0,0,0,204,502,96,0,0,0
231023212442,202,510,97,0,0,0,204,505,99,0,0,0
